ID,Mathmatics,Science,English,Japanese,History,Geography
A0001,50,62,69,88,54,47
A0002,96,57,55,62,68,39
A0003,55,65,65,100,58,55
A0004,51,81,78,72,62,52
A0005,38,0,59,67,74,82
A0006,73,83,51,60,57,50
A0007,70,79,89,88,78,68
A0008,59,80,84,72,88,73
A0009,61,96,54,58,60,61
A0010,23,45,48,40,43,40
A0011,48,64,66,81,55,44
A0012,52,60,95,73,88,74
A0013,66,77,91,67,63,55
A0014,63,71,88,95,71,71
A0015,62,79,81,75,74,65
A0016,73,97,59,58,55,52
A0017,60,69,81,96,85,83
A0018,75,82,79,72,90,76
A0019,68,64,81,85,73,72
A0020,41,37,72,63,70,92
A0021,33,36,0,41,47,43
A0022,99,94,96,79,89,73
A0023,68,70,96,87,75,69
A0024,58,57,78,73,63,59
A0025,57,61,75,82,68,51
A0026,56,65,83,89,85,94
A0027,71,85,55,53,64,44
A0028,56,71,100,78,91,80
A0029,48,61,73,78,65,61
A0030,71,72,94,99,72,63
A0031,54,77,82,74,80,76
A0032,67,63,93,71,68,55
A0033,68,90,57,52,66,58
A0034,65,58,86,66,65,56
A0035,27,41,42,41,52,35
A0036,81,91,69,56,66,54
A0037,89,93,58,59,67,58
A0038,74,63,56,49,68,37
A0039,66,74,97,68,57,47
A0040,50,66,86,75,92,96
A0041,76,98,67,50,69,43
A0042,69,66,93,77,72,68
A0043,65,84,54,52,67,48
A0044,54,67,70,76,59,58
A0045,69,75,88,92,77,70
A0046,44,40,76,70,75,85
A0047,70,76,80,66,67,60
A0048,29,39,43,48,50,43
A0049,77,88,90,74,93,78
A0050,34,44,47,0,53,41
A0051,53,78,90,98,82,91
A0052,46,54,63,68,78,65
A0053,80,95,64,53,65,51
A0054,39,51,75,64,94,70
A0055,94,99,68,61,66,60
A0056,25,46,39,46,52,0
A0057,79,70,57,57,63,41
A0058,77,92,66,50,59,49
A0059,0,40,44,44,49,42
A0060,46,46,75,70,72,86
A0061,82,86,61,55,62,57
A0062,31,38,46,45,48,33
A0063,69,56,82,92,74,63
A0064,49,66,99,73,80,79
A0065,62,64,98,67,53,54
A0066,53,62,78,97,69,46
A0067,42,53,63,62,82,64
A0068,55,65,77,94,61,52
A0069,43,49,71,69,77,79
A0070,40,35,72,66,76,75
A0071,29,42,47,47,45,39
A0072,56,80,68,83,62,53
A0073,63,68,85,69,66,49
A0074,45,55,60,64,83,62
A0075,35,49,61,69,81,67
A0076,75,67,51,48,60,42
A0077,86,61,53,57,56,38
A0078,59,59,64,90,68,50
A0079,64,76,92,98,70,71
A0080,60,75,79,86,96,75
A0081,52,67,74,85,65,56
A0082,45,51,65,68,98,66
A0083,51,73,74,95,70,50
A0084,72,97,56,51,58,45
A0085,47,55,76,65,84,62
A0086,72,87,50,60,64,47
A0087,67,57,94,90,73,67
A0088,61,82,52,56,61,46
A0089,64,68,87,93,77,72
A0090,71,74,84,63,61,48
A0091,30,43,49,43,51,36
A0092,57,72,85,91,92,77
A0093,36,53,62,71,79,66
A0094,83,98,80,76,79,81
A0095,34,47,73,65,71,74
A0096,43,52,77,71,87,72
A0097,85,96,70,54,69,57
A0098,92,89,91,81,95,77
A0099,59,60,97,96,86,89
A0100,37,48,60,70,71,74
A0101,49,69,67,75,56,53
A0102,78,100,62,61,64,45
